,General_Price,General_Farmiliarity,General_Social,General_Origin,General_Values,General_Reputation,Self_Care_Price,Self_Care_Familiarity,Self_Care_Social,Self_Care_Origin,Self_Care_Values,Self_Care_Reputation,SC_Spend_1,SC_Spend_2,Experience_Price,Experience_Familiarity,Experience_Social,Experience_Origin,Experience_Values,Experience_Reputation,EXP_Spend_1,EXP_Spend_2,Workout_Price,Workout_Familiarity,Workout_Social,Workout_Origin,Workout_Values,Workout_Reputation,WORK_Spend_1,WORK_Spend_2,Gender,Age,Finances,Disposable_Income,General_Quality_1,General_Quality_2,General_Quality_3,Self_Care_Quality_1,Self_Care_Quality_2,Self_Care_Quality_3,Experience_Quality_1,Experience_Quality_2,Experience_Quality_3,Workout_Quality_1,Workout_Quality_2,Workout_Quality_3
17,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,10.0,100.0,4.0,3.0,3.0,3.0,4.0,4.0,52.0,255.0,4.0,5.0,4.0,4.0,4.0,4.0,16.0,143.0,Male,21.0,4.0,2.0,3.5,3.4,3.5,3.67,3.8,4.0,3.5,3.4,3.4,4.17,4.2,4.0
18,4.0,3.0,2.0,1.0,2.0,3.0,3.0,4.0,1.0,2.0,2.0,4.0,25.0,75.0,2.0,3.0,2.0,3.0,3.0,5.0,75.0,150.0,3.0,4.0,1.0,2.0,3.0,4.0,19.0,50.0,Male,22.0,4.0,3.0,2.5,2.2,2.0,2.67,2.6,2.67,3.0,3.2,3.2,2.83,2.8,2.6
19,5.0,3.0,3.0,1.0,1.0,3.0,5.0,4.0,3.0,1.0,1.0,2.0,11.0,30.0,4.0,2.0,4.0,1.0,1.0,4.0,60.0,400.0,4.0,3.0,4.0,1.0,1.0,4.0,20.0,40.0,Male,19.0,5.0,2.0,2.67,2.2,2.0,2.67,2.2,1.33,2.67,2.4,2.4,2.83,2.6,2.8
20,4.0,2.0,1.0,1.0,4.0,3.0,5.0,2.0,1.0,3.0,3.0,2.0,4.0,55.0,3.0,2.0,1.0,4.0,2.0,4.0,3.0,122.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7.0,Male,21.0,2.0,3.0,2.5,2.2,2.25,2.67,2.2,2.67,2.67,2.6,2.6,1.0,1.0,1.0
21,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,42.0,3.0,2.0,1.0,1.0,2.0,3.0,42.0,479.0,4.0,3.0,1.0,2.0,2.0,3.0,19.0,118.0,Male,22.0,5.0,3.0,3.17,3.2,3.5,2.33,2.2,2.33,2.0,1.8,1.8,2.5,2.2,2.4
22,5.0,2.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,,20.0,5.0,1.0,1.0,1.0,1.0,1.0,,60.0,5.0,5.0,1.0,1.0,1.0,4.0,,50.0,Male,21.0,2.0,3.0,1.83,1.2,1.0,2.17,1.6,1.0,1.67,1.0,1.0,2.83,2.4,2.4
23,4.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,5.0,30.0,5.0,4.0,2.0,4.0,4.0,4.0,99.0,352.0,3.0,4.0,4.0,3.0,4.0,4.0,20.0,60.0,Male,21.0,4.0,3.0,3.33,3.2,3.25,3.0,3.0,3.0,3.83,3.6,3.6,3.67,3.8,3.6
24,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,5.0,25.0,4.0,2.0,2.0,2.0,2.0,3.0,80.0,200.0,4.0,3.0,2.0,2.0,2.0,2.0,9.0,50.0,Male,21.0,3.0,3.0,2.83,2.6,2.5,2.5,2.4,2.33,2.5,2.2,2.2,2.5,2.2,2.4
25,4.0,3.0,2.0,2.0,3.0,2.0,3.0,5.0,1.0,2.0,1.0,1.0,8.0,36.0,5.0,2.0,1.0,1.0,3.0,4.0,55.0,251.0,3.0,2.0,4.0,2.0,2.0,2.0,,60.0,Male,19.0,4.0,2.0,2.67,2.4,2.25,2.17,2.0,1.33,2.67,2.2,2.2,2.5,2.4,2.6
26,4.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,15.0,4.0,2.0,3.0,2.0,3.0,3.0,0.0,100.0,4.0,2.0,2.0,2.0,3.0,3.0,,30.0,Male,21.0,4.0,2.0,2.83,2.6,2.5,2.83,2.6,2.67,2.83,2.6,2.6,2.67,2.4,2.8
27,4.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,10.0,25.0,4.0,2.0,3.0,1.0,2.0,3.0,70.0,120.0,4.0,3.0,3.0,2.0,3.0,4.0,8.0,40.0,Female,20.0,2.0,3.0,2.67,2.4,2.5,3.5,3.4,3.67,2.5,2.2,2.2,3.17,3.0,3.2
28,4.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,0.0,45.0,4.0,2.0,4.0,2.0,3.0,4.0,,250.0,1.0,1.0,1.0,1.0,1.0,1.0,,,Female,29.0,3.0,3.0,2.0,1.6,1.5,2.0,1.8,1.67,3.17,3.0,3.0,1.0,1.0,1.0
29,4.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,1.0,3.0,2.0,4.0,16.0,35.0,4.0,4.0,2.0,3.0,3.0,4.0,52.0,225.0,3.0,4.0,3.0,2.0,2.0,3.0,20.0,35.0,Male,21.0,5.0,2.0,3.17,3.0,3.0,2.5,2.6,3.0,3.33,3.2,3.2,2.83,2.8,2.6
30,5.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,14.0,200.0,1.0,3.0,1.0,5.0,1.0,5.0,290.0,500.0,,,,,,,183.0,,,22.0,5.0,1.0,2.33,1.8,1.5,1.17,1.0,1.0,2.67,3.0,3.0,,,
