Timestamp,Friend_1,Friend_2,Friend_3,Happiness_1,Happiness_2,Happiness_3,Happiness_4,Happiness_5,Happiness_6,Happiness_7,Happiness_8,Happiness_9,Happiness_10,Happiness_11,Anxiety_1,Anxiety_2,Anxiety_3,Anxiety_4,Anxiety_5,Anxiety_6,Anxiety_7,Depression_1,Depression_2,Depression_3,Depression_4,Depression_5,Depression_6,Depression_7,Depression_8,Depression_9,Commit,NonCommit,Age,Gender,Sex,Mono_or_Poly,Happiness_Rating,Anxiety_Rating,Depression_Rating,Friend_Rating
2022-04-08 17:58:10.355,6.0,4.0,6,6.0,7.0,6.0,7.0,6.0,6.0,6,6.0,5.0,6.0,7.0,1,1,1,2,1,1,0,1,1,3,1,1,1,1,0,0,1.0,0.0,3.0,1.0,0.0,0.0,6.181818181818182,1.0,1.0,5.333333333333333
2022-04-08 18:05:57.785,7.0,3.0,7,5.0,5.0,4.0,3.0,5.0,6.0,5,7.0,6.0,7.0,6.0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1.0,0.0,5.0,1.0,0.0,0.0,5.363636363636363,0.7142857142857143,0.3333333333333333,5.666666666666667
2022-04-08 18:11:18.978,6.0,4.0,6,5.0,5.0,4.0,6.0,5.0,5.0,4,5.0,5.0,5.0,5.0,1,1,1,1,0,1,2,1,1,0,2,1,3,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,4.909090909090909,1.0,1.0,5.333333333333333
2022-04-08 18:11:37.456,4.0,2.0,3,5.0,6.0,4.0,5.0,3.0,5.0,5,5.0,6.0,6.0,6.0,1,1,1,0,1,1,0,1,0,1,2,1,1,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,5.090909090909091,0.7142857142857143,1.0,3.0
2022-04-08 18:17:40.175,3.0,6.0,5,5.0,5.0,4.0,7.0,6.0,6.0,4,5.0,4.0,7.0,6.0,1,1,1,1,2,0,0,1,1,0,1,1,1,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,5.363636363636363,0.8571428571428571,0.7777777777777778,4.666666666666667
2022-04-08 18:40:41.919,4.0,5.0,5,5.0,6.0,4.0,6.0,7.0,6.0,3,7.0,6.0,5.0,7.0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1.0,0.0,5.0,1.0,0.0,0.0,5.636363636363637,1.1428571428571428,0.7777777777777778,4.666666666666667
2022-04-08 18:47:56.511,5.0,3.0,7,5.0,6.0,5.0,7.0,5.0,3.0,4,4.0,2.0,,6.0,1,0,1,1,1,2,0,1,2,0,2,1,1,3,0,0,1.0,0.0,1.0,1.0,2.0,0.0,4.2727272727272725,0.8571428571428571,1.1111111111111112,5.0
2022-04-08 19:43:16.260,4.0,3.0,3,3.0,3.0,4.0,4.0,4.0,5.0,3,3.0,3.0,5.0,3.0,2,2,2,2,1,1,0,2,2,2,2,1,1,1,1,0,0.0,0.0,1.0,1.0,2.0,0.0,3.6363636363636362,1.4285714285714286,1.3333333333333333,3.3333333333333335
2022-04-08 20:10:28.291,5.0,2.0,4,2.0,2.0,2.0,5.0,4.0,5.0,2,2.0,2.0,4.0,3.0,1,1,2,2,1,3,1,2,2,3,3,3,1,2,1,2,0.0,0.0,1.0,3.0,1.0,0.0,3.0,1.5714285714285714,2.111111111111111,3.6666666666666665
2022-04-08 20:40:51.587,3.0,2.0,2,3.0,3.0,3.0,5.0,3.0,4.0,2,3.0,2.0,4.0,5.0,3,3,3,3,2,3,2,1,3,2,1,2,3,1,1,1,0.0,0.0,1.0,1.0,2.0,0.0,3.3636363636363638,2.7142857142857144,1.6666666666666667,2.3333333333333335
